dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
09;2020-S13;B;5;119;1;;
09;2020-S13;C;6;108;3;;
09;2020-S13;D;3;40;1;;
09;2020-S13;E;5;77;3;;
09;2020-S14;0;45;429;16;;
09;2020-S14;A;0;31;0;;
09;2020-S14;B;20;155;1;;
09;2020-S14;C;10;94;3;;
09;2020-S14;D;7;54;4;;
09;2020-S14;E;8;95;8;;
09;2020-S15;0;32;465;18;;
09;2020-S15;A;0;53;0;;
09;2020-S15;B;6;150;2;;
09;2020-S15;C;11;102;3;;
09;2020-S15;D;2;66;1;;
09;2020-S15;E;13;94;12;;
09;2020-S16;0;15;453;9;;
09;2020-S16;A;0;39;0;;
09;2020-S16;B;6;154;1;;
09;2020-S16;C;5;95;4;;
09;2020-S16;D;1;64;1;;
09;2020-S16;E;3;101;3;;
09;2020-S17;0;2;107;0;;
09;2020-S17;A;0;12;0;;
09;2020-S17;B;1;35;0;;
09;2020-S17;C;1;27;0;;
09;2020-S17;D;0;6;0;;
09;2020-S17;E;0;27;0;;
10;2020-S10;0;0;1361;0;1;988
10;2020-S10;A;0;310;0;0;301
10;2020-S10;B;0;516;0;1;468
10;2020-S10;C;0;208;0;0;126
10;2020-S10;D;0;97;0;0;32
10;2020-S10;E;0;230;0;0;60
10;2020-S11;0;2;1295;2;6;1033
10;2020-S11;A;0;311;0;2;328
10;2020-S11;B;0;478;0;3;471
10;2020-S11;C;0;202;0;1;144
10;2020-S11;D;0;101;0;0;27
10;2020-S11;E;2;203;2;0;63
10;2020-S12;0;50;864;19;62;868
10;2020-S12;A;0;139;0;2;228
10;2020-S12;B;24;324;5;42;432
10;2020-S12;C;11;161;2;15;129
10;2020-S12;D;5;83;4;1;30
10;2020-S12;E;10;157;8;2;49
10;2020-S13;0;124;826;62;93;686
10;2020-S13;A;2;84;2;3;110
10;2020-S13;B;31;313;5;59;366
10;2020-S13;C;42;201;19;16;126
10;2020-S13;D;28;88;16;9;35
10;2020-S13;E;21;140;20;6;49
10;2020-S14;0;124;781;65;79;507
10;2020-S14;A;1;86;1;2;74
10;2020-S14;B;34;277;3;50;285
10;2020-S14;C;36;190;14;20;93
10;2020-S14;D;19;83;17;1;13
10;2020-S14;E;34;145;30;6;42
10;2020-S15;0;100;841;64;58;542
10;2020-S15;A;0;90;0;2;72
10;2020-S15;B;24;299;9;35;270
10;2020-S15;C;33;214;14;17;98
10;2020-S15;D;11;83;9;2;37
10;2020-S15;E;32;155;32;2;64
10;2020-S16;0;61;836;26;25;517
10;2020-S16;A;4;103;1;0;85
10;2020-S16;B;22;311;2;13;234
10;2020-S16;C;13;167;7;6;95
10;2020-S16;D;8;91;5;2;31
10;2020-S16;E;14;164;11;4;71
10;2020-S17;0;53;885;29;32;499
10;2020-S17;A;0;105;0;0;81
10;2020-S17;B;15;308;5;24;249
10;2020-S17;C;20;201;9;5;80
10;2020-S17;D;6;99;5;1;44
10;2020-S17;E;12;172;10;2;45
11;2020-S10;0;0;2044;0;;
11;2020-S10;A;0;396;0;;
11;2020-S10;B;0;756;0;;
11;2020-S10;C;0;406;0;;
11;2020-S10;D;0;195;0;;
11;2020-S10;E;0;291;0;;
11;2020-S11;0;36;1973;5;;
11;2020-S11;A;4;415;0;;
11;2020-S11;B;19;678;1;;
11;2020-S11;C;9;394;1;;
11;2020-S11;D;3;205;3;;
11;2020-S11;E;1;281;0;;
11;2020-S12;0;80;1085;36;;
11;2020-S12;A;3;125;0;;
11;2020-S12;B;24;386;4;;
11;2020-S12;C;27;277;8;;
11;2020-S12;D;15;121;14;;
11;2020-S12;E;11;176;10;;
11;2020-S13;0;132;1011;69;;
11;2020-S13;A;5;101;2;;
11;2020-S13;B;35;328;4;;
11;2020-S13;C;39;271;16;;
11;2020-S13;D;22;116;20;;
11;2020-S13;E;31;195;27;;
11;2020-S14;0;98;1030;33;;
11;2020-S14;A;1;88;1;;
11;2020-S14;B;40;334;4;;
11;2020-S14;C;27;282;7;;
11;2020-S14;D;14;147;7;;
11;2020-S14;E;16;178;14;;
11;2020-S15;0;59;1114;25;;
11;2020-S15;A;1;102;1;;
11;2020-S15;B;23;383;3;;
11;2020-S15;C;14;304;7;;
11;2020-S15;D;14;131;8;;
11;2020-S15;E;7;194;6;;
11;2020-S16;0;24;1138;13;;
11;2020-S16;A;0;103;0;;
11;2020-S16;B;6;375;1;;
11;2020-S16;C;7;286;4;;
11;2020-S16;D;5;152;2;;
11;2020-S16;E;6;222;6;;
11;2020-S17;0;14;1247;7;;
11;2020-S17;A;0;131;0;;
11;2020-S17;B;5;429;0;;
11;2020-S17;C;2;306;0;;
11;2020-S17;D;3;145;3;;
11;2020-S17;E;4;236;4;;
12;2020-S10;0;0;925;0;;
12;2020-S10;A;0;147;0;;
12;2020-S10;B;0;335;0;;
12;2020-S10;C;0;188;0;;
12;2020-S10;D;0;96;0;;
